Year,"Geographic
Region",State of Death,Group Method,Method,Suicides,"Group
Percentage"
2001,West,Arizona,General Population Method,Firearms,459,62.3
2001,West,California,General Population Method,Firearms,1427,51.9
2001,West,Colorado,General Population Method,Firearms,376,54.4
2001,West,Hawaii,General Population Method,Firearms,29,22.5
2001,West,Idaho,General Population Method,Firearms,129,65.5
2001,West,Montana,General Population Method,Firearms,127,75.6
2001,West,Nevada,General Population Method,Firearms,215,56.6
2001,West,New Mexico,General Population Method,Firearms,184,52.7
2001,West,Oregon,General Population Method,Firearms,276,56.0
2001,West,Utah,General Population Method,Firearms,170,56.3
2001,West,Washington,General Population Method,Firearms,383,55.1
2001,West,Wyoming,General Population Method,Firearms,55,71.4
2002,Northeast,All,Veteran Method,Firearms,397,55.9
2002,Northeast,Connecticut,Veteran Method,Firearms,20,44.4
2002,Northeast,Maine,Veteran Method,Firearms,19,50.0
2002,Northeast,Massachusetts,Veteran Method,Firearms,30,35.7
2002,Northeast,New Hampshire,Veteran Method,Firearms,17,60.7
2002,Northeast,New Jersey,Veteran Method,Firearms,45,51.7
2002,Northeast,New York,Veteran Method,Firearms,73,52.9
2002,Northeast,Pennsylvania,Veteran Method,Firearms,173,65.8
2002,Midwest,All,Veteran Method,Firearms,948,65.8
2002,Midwest,Illinois,Veteran Method,Firearms,141,65.0
2002,Midwest,Indiana,Veteran Method,Firearms,105,70.0
2002,Midwest,Iowa,Veteran Method,Firearms,38,66.7
2002,Midwest,Kansas,Veteran Method,Firearms,48,62.3
2002,Midwest,Michigan,Veteran Method,Firearms,130,65.7
2002,Midwest,Minnesota,Veteran Method,Firearms,54,55.1
2002,Midwest,Missouri,Veteran Method,Firearms,120,70.6
2002,Midwest,Ohio,Veteran Method,Firearms,183,67.8
2002,Midwest,Wisconsin,Veteran Method,Firearms,70,58.8
2002,South,All,Veteran Method,Firearms,1774,73.1
2002,South,Alabama,Veteran Method,Firearms,84,84.8
2002,South,Arkansas,Veteran Method,Firearms,55,74.3
2002,South,Florida,Veteran Method,Firearms,328,66.5
2002,South,Georgia,Veteran Method,Firearms,144,79.1
2002,South,Kentucky,Veteran Method,Firearms,86,86.9
2002,South,Louisiana,Veteran Method,Firearms,75,74.3
2002,South,Maryland,Veteran Method,Firearms,56,62.9
2002,South,Mississippi,Veteran Method,Firearms,59,76.6
2002,South,North Carolina,Veteran Method,Firearms,129,70.9
2002,South,Oklahoma,Veteran Method,Firearms,66,68.8
2002,South,South Carolina,Veteran Method,Firearms,70,77.8
2002,South,Tennessee,Veteran Method,Firearms,127,79.4
2002,South,Texas,Veteran Method,Firearms,304,71.0
2002,South,Virginia,Veteran Method,Firearms,133,73.5
2002,South,West Virginia,Veteran Method,Firearms,48,81.4
2002,West,All,Veteran Method,Firearms,1005,64.7
2002,West,Arizona,Veteran Method,Firearms,145,71.8
2002,West,California,Veteran Method,Firearms,317,61.9
2002,West,Colorado,Veteran Method,Firearms,95,59.4
2002,West,Idaho,Veteran Method,Firearms,28,63.6
2002,West,Montana,Veteran Method,Firearms,25,69.4
2002,West,Nevada,Veteran Method,Firearms,74,69.8
2002,West,New Mexico,Veteran Method,Firearms,51,65.4
2002,West,Oregon,Veteran Method,Firearms,83,62.9
2002,West,Utah,Veteran Method,Firearms,34,66.7
2002,West,Washington,Veteran Method,Firearms,107,65.2
2002,Northeast,All,General Population Method,Firearms,1685,40.4
2002,Northeast,Connecticut,General Population Method,Firearms,84,33.2
2002,Northeast,Maine,General Population Method,Firearms,78,47.9
2002,Northeast,Massachusetts,General Population Method,Firearms,99,23.1
2002,Northeast,New Hampshire,General Population Method,Firearms,64,51.2
2002,Northeast,New Jersey,General Population Method,Firearms,173,31.9
2002,Northeast,New York,General Population Method,Firearms,402,33.8
2002,Northeast,Pennsylvania,General Population Method,Firearms,701,54.2
2002,Northeast,Rhode Island,General Population Method,Firearms,30,35.7
2002,Northeast,Vermont,General Population Method,Firearms,54,59.3
2002,Midwest,All,General Population Method,Firearms,3582,52.0
2002,Midwest,Illinois,General Population Method,Firearms,461,41.5
2002,Midwest,Indiana,General Population Method,Firearms,434,60.0
2002,Midwest,Iowa,General Population Method,Firearms,153,50.3
2002,Midwest,Kansas,General Population Method,Firearms,181,54.2
2002,Midwest,Michigan,General Population Method,Firearms,555,52.2
2002,Midwest,Minnesota,General Population Method,Firearms,228,48.0
2002,Midwest,Missouri,General Population Method,Firearms,411,61.0
2002,Midwest,Nebraska,General Population Method,Firearms,101,52.9
2002,Midwest,North Dakota,General Population Method,Firearms,52,57.8
2002,Midwest,Ohio,General Population Method,Firearms,664,53.3
2002,Midwest,South Dakota,General Population Method,Firearms,47,57.3
2002,Midwest,Wisconsin,General Population Method,Firearms,295,49.2
2002,South,All,General Population Method,Firearms,7299,61.7
2002,South,Alabama,General Population Method,Firearms,370,74.4
2002,South,Arkansas,General Population Method,Firearms,249,68.6
2002,South,Delaware,General Population Method,Firearms,35,50.7
2002,South,District Of Columbia,General Population Method,Firearms,13,41.9
2002,South,Florida,General Population Method,Firearms,1191,51.9
2002,South,Georgia,General Population Method,Firearms,599,67.8
2002,South,Kentucky,General Population Method,Firearms,358,67.7
2002,South,Louisiana,General Population Method,Firearms,343,70.3
2002,South,Maryland,General Population Method,Firearms,227,49.6
2002,South,Mississippi,General Population Method,Firearms,247,74.6
2002,South,North Carolina,General Population Method,Firearms,617,63.8
2002,South,Oklahoma,General Population Method,Firearms,303,62.7
2002,South,South Carolina,General Population Method,Firearms,300,69.6
2002,South,Tennessee,General Population Method,Firearms,508,66.9
2002,South,Texas,General Population Method,Firearms,1274,57.7
2002,South,Virginia,General Population Method,Firearms,478,62.0
2002,South,West Virginia,General Population Method,Firearms,187,69.5
2002,West,All,General Population Method,Firearms,4117,53.0
2002,West,Alaska,General Population Method,Firearms,86,69.9
2002,West,Arizona,General Population Method,Firearms,548,63.8
2002,West,California,General Population Method,Firearms,1460,46.4
2002,West,Colorado,General Population Method,Firearms,366,52.4
2002,West,Hawaii,General Population Method,Firearms,21,17.9
2002,West,Idaho,General Population Method,Firearms,130,67.7
2002,West,Montana,General Population Method,Firearms,107,61.5
2002,West,Nevada,General Population Method,Firearms,243,58.6
2002,West,New Mexico,General Population Method,Firearms,205,61.0
2002,West,Oregon,General Population Method,Firearms,281,55.8
2002,West,Utah,General Population Method,Firearms,164,51.6
2002,West,Washington,General Population Method,Firearms,425,54.1
2002,West,Wyoming,General Population Method,Firearms,81,78.6
2003,Northeast,All,Veteran Method,Firearms,444,57.8
2003,Northeast,Connecticut,Veteran Method,Firearms,28,57.1
2003,Northeast,Maine,Veteran Method,Firearms,22,66.7
2003,Northeast,Massachusetts,Veteran Method,Firearms,33,45.2
2003,Northeast,New Hampshire,Veteran Method,Firearms,27,67.5
2003,Northeast,New Jersey,Veteran Method,Firearms,27,33.8
2003,Northeast,New York,Veteran Method,Firearms,108,58.1
2003,Northeast,Pennsylvania,Veteran Method,Firearms,191,69.5
2003,Midwest,All,Veteran Method,Firearms,822,63.5
2003,Midwest,Illinois,Veteran Method,Firearms,96,57.1
2003,Midwest,Indiana,Veteran Method,Firearms,91,66.4
2003,Midwest,Iowa,Veteran Method,Firearms,42,55.3
2003,Midwest,Kansas,Veteran Method,Firearms,50,74.6
2003,Midwest,Michigan,Veteran Method,Firearms,114,63.3
2003,Midwest,Minnesota,Veteran Method,Firearms,57,62.0
2003,Midwest,Missouri,Veteran Method,Firearms,111,72.5
2003,Midwest,Ohio,Veteran Method,Firearms,139,64.1
2003,Midwest,Wisconsin,Veteran Method,Firearms,76,55.9
2003,South,All,Veteran Method,Firearms,1764,73.0
2003,South,Alabama,Veteran Method,Firearms,92,81.4
2003,South,Arkansas,Veteran Method,Firearms,68,78.2
2003,South,Delaware,Veteran Method,Firearms,10,50.0
2003,South,Florida,Veteran Method,Firearms,342,69.9
2003,South,Georgia,Veteran Method,Firearms,144,76.2
2003,South,Kentucky,Veteran Method,Firearms,80,78.4
2003,South,Louisiana,Veteran Method,Firearms,65,85.5
2003,South,Maryland,Veteran Method,Firearms,60,67.4
2003,South,Mississippi,Veteran Method,Firearms,67,85.9
2003,South,North Carolina,Veteran Method,Firearms,134,76.1
2003,South,Oklahoma,Veteran Method,Firearms,67,71.3
2003,South,South Carolina,Veteran Method,Firearms,82,74.5
2003,South,Tennessee,Veteran Method,Firearms,101,73.2
2003,South,Texas,Veteran Method,Firearms,307,69.6
2003,South,Virginia,Veteran Method,Firearms,93,64.1
2003,South,West Virginia,Veteran Method,Firearms,51,79.7
2003,West,All,Veteran Method,Firearms,992,66.0
2003,West,Arizona,Veteran Method,Firearms,115,74.2
2003,West,California,Veteran Method,Firearms,305,59.3
2003,West,Colorado,Veteran Method,Firearms,96,63.6
2003,West,Idaho,Veteran Method,Firearms,34,69.4
2003,West,Montana,Veteran Method,Firearms,34,75.6
2003,West,Nevada,Veteran Method,Firearms,77,70.6
2003,West,New Mexico,Veteran Method,Firearms,44,74.6
2003,West,Oregon,Veteran Method,Firearms,102,71.8
2003,West,Utah,Veteran Method,Firearms,37,67.3
2003,West,Washington,Veteran Method,Firearms,98,64.9
2003,Northeast,All,General Population Method,Firearms,1682,40.7
2003,Northeast,Connecticut,General Population Method,Firearms,89,33.2
2003,Northeast,Maine,General Population Method,Firearms,66,50.4
2003,Northeast,Massachusetts,General Population Method,Firearms,121,28.9
2003,Northeast,New Hampshire,General Population Method,Firearms,75,49.0
2003,Northeast,New Jersey,General Population Method,Firearms,183,31.8
2003,Northeast,New York,General Population Method,Firearms,396,34.8
2003,Northeast,Pennsylvania,General Population Method,Firearms,702,54.5
2003,Northeast,Vermont,General Population Method,Firearms,38,46.9
2003,Midwest,All,General Population Method,Firearms,3364,51.8
2003,Midwest,Illinois,General Population Method,Firearms,395,40.4
2003,Midwest,Indiana,General Population Method,Firearms,412,57.0
2003,Midwest,Iowa,General Population Method,Firearms,174,51.6
2003,Midwest,Kansas,General Population Method,Firearms,202,60.3
2003,Midwest,Michigan,General Population Method,Firearms,513,51.4
2003,Midwest,Minnesota,General Population Method,Firearms,232,49.7
2003,Midwest,Missouri,General Population Method,Firearms,400,60.6
2003,Midwest,Nebraska,General Population Method,Firearms,85,50.9
2003,Midwest,North Dakota,General Population Method,Firearms,40,51.3
2003,Midwest,Ohio,General Population Method,Firearms,559,53.8
2003,Midwest,South Dakota,General Population Method,Firearms,57,58.2
2003,Midwest,Wisconsin,General Population Method,Firearms,295,47.7
2003,South,All,General Population Method,Firearms,7385,61.9
2003,South,Alabama,General Population Method,Firearms,393,76.8
2003,South,Arkansas,General Population Method,Firearms,254,69.2
2003,South,Delaware,General Population Method,Firearms,40,44.9
2003,South,District Of Columbia,General Population Method,Firearms,10,30.3
2003,South,Florida,General Population Method,Firearms,1231,54.3
2003,South,Georgia,General Population Method,Firearms,646,68.4
2003,South,Kentucky,General Population Method,Firearms,394,71.4
2003,South,Louisiana,General Population Method,Firearms,310,69.2
2003,South,Maryland,General Population Method,Firearms,237,49.6
2003,South,Mississippi,General Population Method,Firearms,242,73.8
2003,South,North Carolina,General Population Method,Firearms,609,65.3
2003,South,Oklahoma,General Population Method,Firearms,272,60.2
2003,South,South Carolina,General Population Method,Firearms,323,69.2
2003,South,Tennessee,General Population Method,Firearms,483,64.8
2003,South,Texas,General Population Method,Firearms,1312,57.8
2003,South,Virginia,General Population Method,Firearms,441,55.9
2003,South,West Virginia,General Population Method,Firearms,188,72.6
2003,West,All,General Population Method,Firearms,4099,51.3
2003,West,Alaska,General Population Method,Firearms,75,66.4
2003,West,Arizona,General Population Method,Firearms,474,58.4
2003,West,California,General Population Method,Firearms,1481,44.5
2003,West,Colorado,General Population Method,Firearms,358,50.4
2003,West,Hawaii,General Population Method,Firearms,24,19.0
2003,West,Idaho,General Population Method,Firearms,135,64.6
2003,West,Montana,General Population Method,Firearms,117,67.2
2003,West,Nevada,General Population Method,Firearms,241,57.5
2003,West,New Mexico,General Population Method,Firearms,199,62.4
2003,West,Oregon,General Population Method,Firearms,330,56.5
2003,West,Utah,General Population Method,Firearms,171,53.6
2003,West,Washington,General Population Method,Firearms,422,54.5
2003,West,Wyoming,General Population Method,Firearms,72,69.9
2004,Northeast,All,Veteran Method,Firearms,409,56.3
2004,Northeast,Connecticut,Veteran Method,Firearms,18,41.9
2004,Northeast,Massachusetts,Veteran Method,Firearms,26,38.2
2004,Northeast,New Hampshire,Veteran Method,Firearms,17,60.7
2004,Northeast,New Jersey,Veteran Method,Firearms,54,56.8
2004,Northeast,New York,Veteran Method,Firearms,103,57.2
2004,Northeast,Pennsylvania,Veteran Method,Firearms,151,60.9
2004,Midwest,All,Veteran Method,Firearms,779,61.7
2004,Midwest,Illinois,Veteran Method,Firearms,89,54.3
2004,Midwest,Indiana,Veteran Method,Firearms,84,63.2
2004,Midwest,Iowa,Veteran Method,Firearms,38,66.7
2004,Midwest,Kansas,Veteran Method,Firearms,41,61.2
2004,Midwest,Michigan,Veteran Method,Firearms,115,57.2
2004,Midwest,Minnesota,Veteran Method,Firearms,62,57.4
2004,Midwest,Missouri,Veteran Method,Firearms,104,72.2
2004,Midwest,Nebraska,Veteran Method,Firearms,21,65.6
2004,Midwest,Ohio,Veteran Method,Firearms,143,63.6
2004,Midwest,Wisconsin,Veteran Method,Firearms,60,62.5
2004,South,All,Veteran Method,Firearms,1813,72.3
2004,South,Alabama,Veteran Method,Firearms,88,78.6
2004,South,Arkansas,Veteran Method,Firearms,70,77.8
2004,South,Florida,Veteran Method,Firearms,317,65.9
2004,South,Georgia,Veteran Method,Firearms,139,74.7
2004,South,Kentucky,Veteran Method,Firearms,86,74.1
2004,South,Louisiana,Veteran Method,Firearms,83,76.9
2004,South,Maryland,Veteran Method,Firearms,60,62.5
2004,South,Mississippi,Veteran Method,Firearms,61,79.2
2004,South,North Carolina,Veteran Method,Firearms,145,75.5
2004,South,Oklahoma,Veteran Method,Firearms,84,76.4
2004,South,South Carolina,Veteran Method,Firearms,75,76.5
2004,South,Tennessee,Veteran Method,Firearms,116,74.8
2004,South,Texas,Veteran Method,Firearms,314,71.7
2004,South,Virginia,Veteran Method,Firearms,108,67.5
2004,South,West Virginia,Veteran Method,Firearms,57,80.3
2004,West,All,Veteran Method,Firearms,972,65.1
2004,West,Arizona,Veteran Method,Firearms,121,72.5
2004,West,California,Veteran Method,Firearms,312,61.5
2004,West,Colorado,Veteran Method,Firearms,104,64.2
2004,West,Nevada,Veteran Method,Firearms,71,64.0
2004,West,New Mexico,Veteran Method,Firearms,47,71.2
2004,West,Oregon,Veteran Method,Firearms,91,68.9
2004,West,Utah,Veteran Method,Firearms,29,53.7
2004,West,Washington,Veteran Method,Firearms,104,64.6
2004,West,Wyoming,Veteran Method,Firearms,14,58.3
2004,Northeast,All,General Population Method,Firearms,1702,40.1
2004,Northeast,Connecticut,General Population Method,Firearms,104,36.6
2004,Northeast,Maine,General Population Method,Firearms,93,55.7
2004,Northeast,Massachusetts,General Population Method,Firearms,93,22.5
2004,Northeast,New Hampshire,General Population Method,Firearms,57,43.5
2004,Northeast,New Jersey,General Population Method,Firearms,182,31.9
2004,Northeast,New York,General Population Method,Firearms,393,34.3
2004,Northeast,Pennsylvania,General Population Method,Firearms,704,51.5
2004,Northeast,Rhode Island,General Population Method,Firearms,21,26.3
2004,Northeast,Vermont,General Population Method,Firearms,55,61.1
2004,Midwest,All,General Population Method,Firearms,3361,49.2
2004,Midwest,Illinois,General Population Method,Firearms,377,38.1
2004,Midwest,Indiana,General Population Method,Firearms,374,55.3
2004,Midwest,Iowa,General Population Method,Firearms,148,44.7
2004,Midwest,Kansas,General Population Method,Firearms,198,55.3
2004,Midwest,Michigan,General Population Method,Firearms,515,48.7
2004,Midwest,Minnesota,General Population Method,Firearms,260,51.5
2004,Midwest,Missouri,General Population Method,Firearms,375,54.8
2004,Midwest,Nebraska,General Population Method,Firearms,84,53.8
2004,Midwest,North Dakota,General Population Method,Firearms,38,55.1
2004,Midwest,Ohio,General Population Method,Firearms,643,50.8
2004,Midwest,South Dakota,General Population Method,Firearms,56,56.0
2004,Midwest,Wisconsin,General Population Method,Firearms,293,46.1
2004,South,All,General Population Method,Firearms,7341,60.0
2004,South,Alabama,General Population Method,Firearms,368,69.6
2004,South,Arkansas,General Population Method,Firearms,232,65.2
2004,South,Delaware,General Population Method,Firearms,44,47.8
2004,South,Florida,General Population Method,Firearms,1190,50.7
2004,South,Georgia,General Population Method,Firearms,597,62.9
2004,South,Kentucky,General Population Method,Firearms,372,67.8
2004,South,Louisiana,General Population Method,Firearms,364,69.7
2004,South,Maryland,General Population Method,Firearms,242,49.9
2004,South,Mississippi,General Population Method,Firearms,236,70.2
2004,South,North Carolina,General Population Method,Firearms,599,59.7
2004,South,Oklahoma,General Population Method,Firearms,307,62.4
2004,South,South Carolina,General Population Method,Firearms,318,68.5
2004,South,Tennessee,General Population Method,Firearms,515,66.9
2004,South,Texas,General Population Method,Firearms,1278,57.7
2004,South,Virginia,General Population Method,Firearms,485,60.1
2004,South,West Virginia,General Population Method,Firearms,189,68.0
2004,West,All,General Population Method,Firearms,3959,48.9
2004,West,Alaska,General Population Method,Firearms,87,61.7
2004,West,Arizona,General Population Method,Firearms,497,58.1
2004,West,California,General Population Method,Firearms,1342,41.0
2004,West,Colorado,General Population Method,Firearms,394,51.6
2004,West,Hawaii,General Population Method,Firearms,31,27.9
2004,West,Idaho,General Population Method,Firearms,146,64.3
2004,West,Montana,General Population Method,Firearms,102,59.6
2004,West,Nevada,General Population Method,Firearms,246,57.3
2004,West,New Mexico,General Population Method,Firearms,186,56.2
2004,West,Oregon,General Population Method,Firearms,295,54.1
2004,West,Utah,General Population Method,Firearms,178,49.6
2004,West,Washington,General Population Method,Firearms,410,50.7
2004,West,Wyoming,General Population Method,Firearms,45,54.9
2005,Northeast,All,Veteran Method,Firearms,467,63.6
2005,Northeast,Connecticut,Veteran Method,Firearms,30,61.2
2005,Northeast,Maine,Veteran Method,Firearms,33,71.7
2005,Northeast,Massachusetts,Veteran Method,Firearms,32,47.8
2005,Northeast,New Jersey,Veteran Method,Firearms,31,47.7
2005,Northeast,New York,Veteran Method,Firearms,105,64.0
2005,Northeast,Pennsylvania,Veteran Method,Firearms,200,70.7
2005,Midwest,All,Veteran Method,Firearms,932,64.6
2005,Midwest,Illinois,Veteran Method,Firearms,118,58.1
2005,Midwest,Indiana,Veteran Method,Firearms,109,71.2
2005,Midwest,Iowa,Veteran Method,Firearms,42,65.6
2005,Midwest,Kansas,Veteran Method,Firearms,44,62.9
2005,Midwest,Michigan,Veteran Method,Firearms,127,64.8
2005,Midwest,Minnesota,Veteran Method,Firearms,57,60.6
2005,Midwest,Missouri,Veteran Method,Firearms,117,73.6
2005,Midwest,Nebraska,Veteran Method,Firearms,20,57.1
2005,Midwest,Ohio,Veteran Method,Firearms,182,62.3
2005,Midwest,Wisconsin,Veteran Method,Firearms,78,62.4
2005,South,All,Veteran Method,Firearms,1765,71.9
2005,South,Alabama,Veteran Method,Firearms,86,72.3
2005,South,Arkansas,Veteran Method,Firearms,61,78.2
2005,South,Florida,Veteran Method,Firearms,331,67.4
2005,South,Georgia,Veteran Method,Firearms,138,75.4
2005,South,Kentucky,Veteran Method,Firearms,80,69.0
2005,South,Louisiana,Veteran Method,Firearms,51,76.1
2005,South,Maryland,Veteran Method,Firearms,64,67.4
2005,South,North Carolina,Veteran Method,Firearms,149,73.4
2005,South,Oklahoma,Veteran Method,Firearms,72,69.9
2005,South,South Carolina,Veteran Method,Firearms,57,71.3
2005,South,Tennessee,Veteran Method,Firearms,122,73.9
2005,South,Texas,Veteran Method,Firearms,299,71.5
2005,South,Virginia,Veteran Method,Firearms,139,72.4
2005,West,All,Veteran Method,Firearms,974,65.7
2005,West,Arizona,Veteran Method,Firearms,128,68.8
2005,West,California,Veteran Method,Firearms,292,62.5
2005,West,Colorado,Veteran Method,Firearms,104,63.8
2005,West,Montana,Veteran Method,Firearms,38,73.1
2005,West,Nevada,Veteran Method,Firearms,74,67.9
2005,West,New Mexico,Veteran Method,Firearms,40,61.5
2005,West,Oregon,Veteran Method,Firearms,81,69.2
2005,West,Utah,Veteran Method,Firearms,28,73.7
2005,West,Washington,Veteran Method,Firearms,105,60.7
2005,Northeast,All,General Population Method,Firearms,1788,41.6
2005,Northeast,Connecticut,General Population Method,Firearms,110,38.7
2005,Northeast,Maine,General Population Method,Firearms,99,57.2
2005,Northeast,Massachusetts,General Population Method,Firearms,111,23.7
2005,Northeast,New Hampshire,General Population Method,Firearms,79,50.0
2005,Northeast,New Jersey,General Population Method,Firearms,134,25.6
2005,Northeast,New York,General Population Method,Firearms,447,38.7
2005,Northeast,Pennsylvania,General Population Method,Firearms,755,54.2
2005,Northeast,Vermont,General Population Method,Firearms,35,46.1
2005,Midwest,All,General Population Method,Firearms,3540,50.4
2005,Midwest,Illinois,General Population Method,Firearms,421,39.5
2005,Midwest,Indiana,General Population Method,Firearms,406,56.3
2005,Midwest,Iowa,General Population Method,Firearms,167,51.9
2005,Midwest,Kansas,General Population Method,Firearms,187,52.8
2005,Midwest,Michigan,General Population Method,Firearms,544,50.7
2005,Midwest,Minnesota,General Population Method,Firearms,242,47.1
2005,Midwest,Missouri,General Population Method,Firearms,419,59.4
2005,Midwest,Nebraska,General Population Method,Firearms,91,52.6
2005,Midwest,North Dakota,General Population Method,Firearms,51,60.0
2005,Midwest,Ohio,General Population Method,Firearms,654,50.5
2005,Midwest,South Dakota,General Population Method,Firearms,66,59.5
2005,Midwest,Wisconsin,General Population Method,Firearms,292,47.9
2005,South,All,General Population Method,Firearms,7323,59.6
2005,South,Alabama,General Population Method,Firearms,366,69.6
2005,South,Arkansas,General Population Method,Firearms,242,64.4
2005,South,Delaware,General Population Method,Firearms,40,49.4
2005,South,District Of Columbia,General Population Method,Firearms,10,30.3
2005,South,Florida,General Population Method,Firearms,1138,49.7
2005,South,Georgia,General Population Method,Firearms,577,64.0
2005,South,Kentucky,General Population Method,Firearms,365,65.9
2005,South,Louisiana,General Population Method,Firearms,338,70.0
2005,South,Maryland,General Population Method,Firearms,215,47.7
2005,South,Mississippi,General Population Method,Firearms,248,70.3
2005,South,North Carolina,General Population Method,Firearms,615,62.8
2005,South,Oklahoma,General Population Method,Firearms,299,58.5
2005,South,South Carolina,General Population Method,Firearms,306,61.9
2005,South,Tennessee,General Population Method,Firearms,546,64.8
2005,South,Texas,General Population Method,Firearms,1336,57.5
2005,South,Virginia,General Population Method,Firearms,499,59.5
2005,South,West Virginia,General Population Method,Firearms,183,73.8
